Date,Open,High,Low,Close,Adj Close,Volume
2002-02-20,18.268192,19.691093,18.245243,19.002592,17.958103,2351048
2002-02-21,19.507492,19.943542,19.277992,19.484543,18.413567,1240948
2002-02-22,19.255043,20.104193,19.163242,19.943542,18.847334,908019
2002-02-25,19.874693,19.966494,19.553392,19.576344,18.500319,395880
2002-02-26,19.736994,20.287792,19.622244,19.989443,18.890713,595730
2002-02-27,20.150091,21.320541,19.966494,20.333693,19.216040,3489367
2002-02-28,19.736994,21.572992,18.589493,18.773092,17.741217,4910406
2002-03-01,19.163242,19.759943,19.048492,19.369793,18.305122,903311
2002-03-04,19.989443,20.517292,19.668142,19.851744,18.760580,607651
2002-03-05,20.287792,20.930391,20.104193,20.861542,19.714874,2218443
2002-03-06,20.884493,21.481192,20.425491,20.746792,19.606434,3397140
2002-03-07,21.068092,21.068092,20.540241,20.586142,19.454613,715488
2002-03-08,20.723843,20.723843,20.081242,20.127142,19.020842,222921
2002-03-11,20.517292,20.654991,19.782892,19.897642,18.803959,197015
2002-03-12,20.104193,20.104193,19.277992,19.323893,18.261747,351527
2002-03-13,19.415693,19.691093,18.841944,19.277992,18.218365,166307
2002-03-14,19.323893,19.461594,18.818993,19.002592,17.958103,381555
2002-03-15,19.232094,19.530443,18.979643,19.186193,18.131613,498383
2002-03-18,19.736994,19.736994,19.048492,19.117344,18.066551,257904
2002-03-19,19.507492,19.714043,18.451794,18.589493,17.567715,465322
2002-03-20,18.864893,19.002592,18.497692,18.589493,17.567715,280446
2002-03-21,18.864893,18.864893,18.520643,18.566544,17.546026,153784
2002-03-22,18.796043,18.818993,18.199343,18.337044,17.329134,195849
2002-03-25,18.337044,18.337044,18.337044,18.337044,17.329134,0
2002-03-26,18.359993,18.543592,17.809193,17.855093,16.873682,184758
2002-03-27,18.084593,18.176394,17.900993,17.946894,16.960436,296381
2002-03-28,17.946894,17.946894,17.946894,17.946894,16.960436,0
2002-03-29,17.946894,17.946894,17.946894,17.946894,16.960436,0
2002-04-01,18.359993,19.484543,17.694443,17.763292,16.786924,196457
2002-04-02,17.717394,17.900993,16.982994,17.005943,16.071205,455533
2002-04-03,16.982994,17.419043,16.523994,16.661694,15.745875,313553
2002-04-04,16.960045,18.038692,16.799395,17.602642,16.635101,432542
2002-04-05,17.900993,18.130493,17.464943,17.533792,16.570042,173969
2002-04-08,17.900993,18.222294,16.799395,16.982994,16.049517,214980
2002-04-09,17.441994,17.900993,16.982994,17.281343,16.331461,218080
2002-04-10,17.441994,17.441994,16.592844,16.982994,16.049517,377618
2002-04-11,17.648542,18.222294,17.441994,17.740343,16.765234,442119
2002-04-12,17.441994,17.671494,17.166594,17.373142,16.418219,354329
2002-04-15,17.946894,17.946894,17.212494,17.373142,16.418219,247675
2002-04-16,17.304293,17.671494,17.258392,17.350193,16.396528,215566
