Date,Open,High,Low,Close,Adj Close,Volume
1991-06-20,null,null,null,null,null,null
1991-06-21,106.942528,106.942528,106.942528,106.942528,52.778202,0
1991-06-24,null,null,null,null,null,null
1991-06-25,null,null,null,null,null,null
1991-06-26,null,null,null,null,null,null
1991-06-27,null,null,null,null,null,null
1991-06-28,null,null,null,null,null,null
1991-07-01,97.679787,97.679787,97.679787,97.679787,48.206879,0
1991-07-02,null,null,null,null,null,null
1991-07-03,null,null,null,null,null,null
1991-07-04,null,null,null,null,null,null
1991-07-05,null,null,null,null,null,null
1991-07-08,null,null,null,null,null,null
1991-07-09,null,null,null,null,null,null
1991-07-10,null,null,null,null,null,null
1991-07-11,null,null,null,null,null,null
1991-07-12,null,null,null,null,null,null
1991-07-15,null,null,null,null,null,null
1991-07-16,null,null,null,null,null,null
1991-07-17,null,null,null,null,null,null
1991-07-18,122.661118,122.661118,122.661118,122.661118,60.535648,0
1991-07-19,null,null,null,null,null,null
1991-07-22,null,null,null,null,null,null
1991-07-23,114.801819,114.801819,114.801819,114.801819,56.656929,0
1991-07-24,null,null,null,null,null,null
1991-07-25,null,null,null,null,null,null
1991-07-26,null,null,null,null,null,null
1991-07-29,null,null,null,null,null,null
1991-07-30,null,null,null,null,null,null
1991-07-31,null,null,null,null,null,null
1991-08-01,null,null,null,null,null,null
1991-08-02,null,null,null,null,null,null
1991-08-05,null,null,null,null,null,null
1991-08-06,131.923859,131.923859,131.923859,131.923859,65.106987,0
1991-08-07,null,null,null,null,null,null
1991-08-08,null,null,null,null,null,null
1991-08-09,null,null,null,null,null,null
1991-08-12,null,null,null,null,null,null
1991-08-13,null,null,null,null,null,null
1991-08-14,null,null,null,null,null,null
1991-08-15,135.292130,135.292130,135.292130,135.292130,66.769295,0
1991-08-16,null,null,null,null,null,null
1991-08-19,null,null,null,null,null,null
1991-08-20,null,null,null,null,null,null
1991-08-21,null,null,null,null,null,null
1991-08-22,null,null,null,null,null,null
1991-08-23,null,null,null,null,null,null
1991-08-26,null,null,null,null,null,null
1991-08-27,null,null,null,null,null,null
1991-08-28,null,null,null,null,null,null
1991-08-29,134.730743,134.730743,134.730743,134.730743,66.492249,0
1991-08-30,null,null,null,null,null,null
1991-09-02,133.327301,133.327301,133.327301,133.327301,65.799614,0
1991-09-03,null,null,null,null,null,null
1991-09-04,null,null,null,null,null,null
1991-09-05,null,null,null,null,null,null
1991-09-06,null,null,null,null,null,null
1991-09-09,131.362473,131.362473,131.362473,131.362473,64.829926,0
1991-09-10,null,null,null,null,null,null
1991-09-11,129.678345,129.678345,129.678345,129.678345,63.998787,0
1991-09-12,129.678345,129.678345,129.678345,129.678345,63.998787,0
1991-09-13,null,null,null,null,null,null
1991-09-16,null,null,null,null,null,null
1991-09-17,null,null,null,null,null,null
1991-09-18,null,null,null,null,null,null
1991-09-19,135.292130,135.292130,135.292130,135.292130,66.769295,0
1991-09-20,null,null,null,null,null,null
1991-09-23,134.169373,134.169373,134.169373,134.169373,66.215195,0
1991-09-24,null,null,null,null,null,null
1991-09-25,null,null,null,null,null,null
1991-09-26,null,null,null,null,null,null
1991-09-27,null,null,null,null,null,null
1991-09-30,null,null,null,null,null,null
1991-10-01,null,null,null,null,null,null
1991-10-02,137.537628,137.537628,137.537628,137.537628,67.877502,0
1991-10-03,null,null,null,null,null,null
1991-10-04,null,null,null,null,null,null
1991-10-07,null,null,null,null,null,null
1991-10-08,127.432831,127.432831,127.432831,127.432831,62.890591,0
1991-10-09,null,null,null,null,null,null
1991-10-10,null,null,null,null,null,null
1991-10-11,null,null,null,null,null,null
1991-10-14,null,null,null,null,null,null
1991-10-15,null,null,null,null,null,null
1991-10-16,null,null,null,null,null,null
1991-10-17,124.064560,124.064560,124.064560,124.064560,61.228275,0
1991-10-18,null,null,null,null,null,null
1991-10-21,null,null,null,null,null,null
1991-10-22,null,null,null,null,null,null
1991-10-23,null,null,null,null,null,null
1991-10-24,null,null,null,null,null,null
1991-10-25,125.187317,125.187317,125.187317,125.187317,61.782387,0
1991-10-28,125.187317,125.187317,125.187317,125.187317,61.782387,0
1991-10-29,null,null,null,null,null,null
1991-10-30,null,null,null,null,null,null
1991-10-31,null,null,null,null,null,null
1991-11-01,null,null,null,null,null,null
1991-11-04,129.678345,129.678345,129.678345,129.678345,63.998787,0
1991-11-05,null,null,null,null,null,null
1991-11-06,131.362473,131.362473,131.362473,131.362473,64.829926,0
1991-11-07,131.362473,131.362473,131.362473,131.362473,64.829926,0
1991-11-08,null,null,null,null,null,null
1991-11-11,null,null,null,null,null,null
1991-11-12,null,null,null,null,null,null
1991-11-13,null,null,null,null,null,null
1991-11-14,null,null,null,null,null,null
1991-11-15,null,null,null,null,null,null
1991-11-18,null,null,null,null,null,null
1991-11-19,null,null,null,null,null,null
1991-11-20,null,null,null,null,null,null
1991-11-21,129.678345,129.678345,129.678345,129.678345,63.998787,0
1991-11-22,null,null,null,null,null,null
1991-11-25,129.678345,129.678345,129.678345,129.678345,63.998787,0
1991-11-26,null,null,null,null,null,null
1991-11-27,null,null,null,null,null,null
1991-11-28,null,null,null,null,null,null
1991-11-29,null,null,null,null,null,null
1991-12-02,null,null,null,null,null,null
1991-12-03,null,null,null,null,null,null
1991-12-04,null,null,null,null,null,null
1991-12-05,null,null,null,null,null,null
1991-12-06,null,null,null,null,null,null
1991-12-09,null,null,null,null,null,null
1991-12-10,null,null,null,null,null,null
1991-12-11,null,null,null,null,null,null
1991-12-12,null,null,null,null,null,null
1991-12-13,134.169373,134.169373,134.169373,134.169373,66.215195,0
1991-12-16,null,null,null,null,null,null
1991-12-17,null,null,null,null,null,null
1991-12-18,null,null,null,null,null,null
1991-12-19,null,null,null,null,null,null
1991-12-20,null,null,null,null,null,null
