Date,Open,High,Low,Close,Adj Close,Volume
1995-05-11,14.133333,14.133333,14.133333,14.133333,12.100635,0
1995-05-12,null,null,null,null,null,null
1995-05-15,null,null,null,null,null,null
1995-05-16,null,null,null,null,null,null
1995-05-17,null,null,null,null,null,null
1995-05-18,null,null,null,null,null,null
1995-05-19,null,null,null,null,null,null
1995-05-22,null,null,null,null,null,null
1995-05-23,null,null,null,null,null,null
1995-05-24,null,null,null,null,null,null
1995-05-25,null,null,null,null,null,null
1995-05-26,null,null,null,null,null,null
1995-05-29,null,null,null,null,null,null
1995-05-30,null,null,null,null,null,null
1995-05-31,null,null,null,null,null,null
1995-06-01,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-02,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-05,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-06,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-07,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-08,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-09,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-12,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-13,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-14,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-15,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-16,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-19,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-20,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-21,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-22,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-23,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-26,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-27,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-28,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-29,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-06-30,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-03,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-04,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-05,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-06,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-07,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-10,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-11,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-12,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-13,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-14,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-17,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-18,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-19,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-20,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-21,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-24,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-25,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-26,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-27,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-28,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-07-31,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-01,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-02,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-03,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-04,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-07,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-08,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-09,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-10,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-11,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-14,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-15,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-16,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-17,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-18,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-21,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-22,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-23,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-24,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-25,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-28,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-29,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-30,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-08-31,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-01,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-04,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-05,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-06,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-07,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-08,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-11,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-12,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-13,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-14,13.066666,13.066666,13.066666,13.066666,11.187376,0
1995-09-15,13.066666,13.066666,13.066666,13.066666,11.187376,0
