,R2,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
AIRTEL,0.9971,4.7773,50.9726,7.1395
TATAMOTORS,0.9989,3.0512,23.6634,4.8645
ITC,0.9995,1.2707,5.081,2.2541
CIPLA,0.9993,3.5186,35.3586,5.9463
RAYMOND,0.9985,5.3309,74.4472,8.6283
BAJAJELECTRICALS,0.9976,4.0709,76.1243,8.7249
L&T,0.9992,7.2233,166.1431,12.8897
RELIANCE,0.9994,5.715,125.9006,11.2205
SBI,0.9988,2.2591,13.3723,3.6568
TATASTEEL,0.9979,5.6779,81.8777,9.0486
TCS,0.9993,9.9763,343.8715,18.5438
