,R2,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
AIRTEL,0.0489,97.2898,16784.8541,129.5564
TATAMOTORS,0.0667,110.8507,20148.939,141.947
ITC,0.1915,72.898,7950.3111,89.1645
CIPLA,0.7668,69.6796,11907.2745,109.1205
RAYMOND,0.526,91.233,22851.4277,151.1669
BAJAJELECTRICALS,0.7643,38.0544,7345.5121,85.706
L&T,0.7778,141.7502,46653.3486,215.9939
RELIANCE,0.6137,144.4835,75519.1961,274.8076
SBI,0.1862,80.0074,9436.3347,97.1408
TATASTEEL,0.21,135.1318,31380.5752,177.1456
TCS,0.3119,387.4504,336708.1818,580.2656
